miRNA_ID,mesh_similarity,doid_similarity,num_sources_mesh,num_sources_doid,mesh_disease_count,doid_disease_count,mesh_max_jaccard,doid_max_jaccard,mesh_jaccard_std,doid_jaccard_std,inter_ontology_agreement
hsa-mir-133b,0.04257918552036199,0.03439526089142458,3,3,80,70,0.4117647058823529,0.35294117647058826,0.10669974294877914,0.08977783772240816,0.9918160753710625
hsa-mir-589,0.009570341092080221,0.008788174139051332,4,4,25,23,0.08333333333333333,0.05555555555555555,0.022671903316694875,0.019672776975938465,0.9992178330469711
hsa-mir-211,0.02477016447604683,0.015409212178279974,4,4,70,66,0.16176470588235295,0.16666666666666666,0.05034575171195131,0.04254417657662044,0.9906390477022331
hsa-mir-299,0.0037037037037037034,0.00392156862745098,3,3,37,35,0.05555555555555555,0.058823529411764705,0.013857990321384968,0.014673166222642907,0.9997821350762527
hsa-mir-2115,0.0,0.0,1,1,8,7,0.0,0.0,0.0,0.0,1.0
hsa-mir-4769,0.0,0.0,1,1,5,6,0.0,0.0,0.0,0.0,1.0
hsa-mir-6768,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,1.0
hsa-mir-4639,0.0,0.0,1,1,4,4,0.0,0.0,0.0,0.0,1.0
hsa-mir-520c,0.003472222222222222,0.0032679738562091504,4,4,19,19,0.0625,0.058823529411764705,0.0143163389778391,0.013474201390907388,0.9997957516339869
hsa-mir-558,0.0044444444444444444,0.0,3,3,16,17,0.06666666666666667,0.0,0.01662958838566196,0.0,0.9955555555555555
hsa-mir-613,0.030172068827531012,0.015880503144654088,3,3,51,53,0.29411764705882354,0.125,0.07674923982802705,0.040544702107093704,0.9857084343171231
hsa-mir-1297,0.011904761904761906,0.005128205128205128,3,3,30,28,0.17857142857142858,0.07692307692307693,0.0445435403187374,0.019187986598840728,0.9932234432234432
hsa-mir-650,0.016097030209933437,0.01025132275132275,4,4,32,31,0.12903225806451613,0.14285714285714285,0.04005952165693108,0.03354322356609044,0.9941542925413893
hsa-mir-498,0.017540708812260535,0.016431677890011223,4,4,36,34,0.15625,0.1111111111111111,0.0445283597276534,0.036922744897062154,0.9988909690777507
hsa-mir-629,0.014631802264652506,0.02074074074074074,4,4,28,31,0.14285714285714285,0.3333333333333333,0.03449367983237969,0.07636458648213257,0.9938910615239117
hsa-mir-181d,0.02485958485958486,0.014866712235133287,3,4,46,50,0.15384615384615385,0.10526315789473684,0.050708967164462444,0.03372148313590765,0.9900071273755484
